"stock","stockShortName","stockLongName"
1,"AKS","Alaska South SE"
2,"NTH","North/Centr"
3,"FRE","Fraser Early"
4,"FRL","Fraser Late"
5,"RBH","WCVI Hatchery"
6,"RBT","WCVI Natural"
7,"GSQ","Georgia St. Upper"
8,"GST","Georgia St. Lwr Nat"
9,"GSH","Georgia St. Lwr Hat"
10,"NKF","Nooksack Fall"
11,"PSF","Pgt Sd Fing"
12,"PSN","Pgt Sd NatF"
13,"PSY","Pgt Sd Year"
14,"NKS","Nooksack Spring"
15,"SKG","Skagit Wild"
16,"STL","Stillaguamish Wild"
17,"SNO","Snohomish Wild"
18,"WCH","WA Coastal Hat"
19,"URB","UpRiver Brights"
20,"SPR","Spring Creek Hat"
21,"BON","Lwr Bonneville Hat"
22,"CWF","Fall Cowlitz Hat"
23,"LRW","Lewis R Wild"
24,"WSH","Willamette R"
25,"CWS","Spr Cowlitz Hat"
26,"SUM","Col R Summer"
27,"ORC","Oregon Coast"
28,"WCN","WA Coastal Wild"
29,"LYF","Lyons Ferry"
30,"MCB","Mid Col R Brights"
